Date,Open,High,Low,Volume
2001-06-30,72.0,72.0,66.5,225346288
2001-07-31,69.0,69.0,60.0,62301872
2001-08-31,66.0,67.5,60.5,75602484
2001-09-30,62.0,71.0,54.0,85674259
2001-10-31,59.0,64.0,53.0,73594698
2001-11-30,61.0,66.0,55.5,67270635
2001-12-31,58.0,62.0,57.0,26434071
2002-01-31,60.5,63.5,56.5,82943541
2002-02-28,58.5,65.0,57.5,49554969
2002-03-31,64.5,71.0,64.0,54812018
2002-04-30,71.5,73.5,68.5,72107045
2002-05-31,72.0,73.0,66.5,52653279
2002-06-30,69.0,70.0,63.0,61961936
2002-07-31,66.5,69.5,53.0,59000231
2002-08-31,63.0,67.0,60.0,53576618
2002-09-30,63.5,64.0,55.0,56170009
2002-10-31,56.0,59.5,51.5,76035889
2002-11-30,53.5,54.5,49.6,55411195
2002-12-31,53.5,59.5,52.5,55990625
2003-01-31,58.5,60.5,51.0,77468119
2003-02-28,54.0,56.5,50.5,68143345
2003-03-31,55.0,58.0,53.5,75767930
2003-04-30,56.0,58.0,55.0,47915186
2003-05-31,56.0,60.5,55.5,62212229
2003-06-30,59.0,65.0,58.5,92368146
2003-07-31,61.75,65.75,58.5,62339562
2003-08-31,65.25,68.5,64.25,58603739
2003-09-30,67.5,71.0,62.25,96906716
2003-10-31,63.75,68.25,63.75,72438412
2003-11-30,67.25,70.5,66.75,50340516
2003-12-31,68.0,75.25,66.5,61144154
2004-01-31,74.75,79.5,73.75,71274240
2004-02-29,77.25,83.5,74.75,80681307
2004-03-31,84.5,89.0,81.25,64675645
2004-04-30,84.5,95.0,83.0,77075818
2004-05-31,85.5,90.25,79.5,71768969
2004-06-30,85.75,90.75,84.0,87897107
2004-07-31,88.25,89.75,82.75,370004025
2004-08-31,86.5,89.5,84.5,137503740
2004-09-30,88.25,99.75,88.0,172381920
2004-10-31,97.0,104.25,91.25,163621606
2004-11-30,93.25,97.5,89.75,185525804
2004-12-31,96.5,97.0,88.25,221372795
2005-01-31,95.25,99.0,90.25,160176617
2005-02-28,97.5,112.75,97.25,398285639
2005-03-31,112.25,114.75,105.75,223158550
2005-04-30,109.25,114.0,105.75,205136726
2005-05-31,110.5,116.75,106.75,157446855
2005-06-30,114.25,133.75,114.25,183395485
2005-07-31,134.0,147.0,133.5,169026295
2005-08-31,141.0,156.5,140.0,174462375
2005-09-30,157.5,166.5,155.5,192208639
2005-10-31,163.5,164.5,132.25,311607307
2005-11-30,143.5,157.0,140.0,229136244
2005-12-31,148.0,160.0,147.75,149209461
2006-01-31,155.0,187.0,154.0,245488174
2006-02-28,182.0,184.5,164.0,300004191
2006-03-31,173.5,192.5,171.0,249342161
2006-04-30,188.5,212.0,184.5,191486356
2006-05-31,206.0,212.0,163.5,256471421
2006-06-30,178.0,183.0,151.0,240739451
2006-07-31,177.5,190.5,175.5,143204918
2006-08-31,184.5,186.0,168.5,227368532
2006-09-30,172.0,179.5,147.25,378964321
2006-10-31,155.0,171.75,143.75,404917577
2006-11-30,166.25,177.5,164.0,269102175
2006-12-31,172.0,187.0,159.5,259535377
2007-01-31,166.0,168.75,150.75,450177328
2007-02-28,168.5,169.25,154.75,297526675
2007-03-31,157.5,168.75,150.0,315135580
2007-04-30,166.0,172.25,163.25,167612123
2007-05-31,170.0,177.0,161.5,311096167
2007-06-30,165.0,184.75,163.25,309495423
2007-07-31,183.5,196.0,168.5,217513404
2007-08-31,171.0,172.25,150.75,352838232
2007-09-30,168.25,194.25,166.5,470094181
2007-10-31,183.0,187.9,169.0,496174472
2007-11-30,183.5,184.5,165.6,374336385
2007-12-31,181.3,185.9,158.3,355397686
2008-01-31,168.1,171.8,126.7,376585696
2008-02-29,141.8,163.5,140.3,238573500
2008-03-31,158.2,161.1,149.0,209062106
2008-04-30,151.5,185.5,151.1,296358395
2008-05-31,183.4,216.1,181.8,345470963
2008-06-30,196.7,202.7,180.4,270847423
2008-07-31,190.0,191.1,155.3,226232161
2008-08-31,162.6,168.9,148.7,243642756
2008-09-30,166.2,168.2,124.0,323651475
2008-10-31,140.4,142.2,101.1,349335010
2008-11-30,129.7,144.8,96.7,273950913
2008-12-31,117.9,118.9,94.2,201680028
2009-01-31,117.3,132.7,110.7,253454099
2009-02-28,119.3,125.2,109.9,200040943
2009-03-31,116.0,127.4,108.9,223781743
2009-04-30,118.1,127.7,113.6,177286966
2009-05-31,127.5,144.1,124.6,242053406
2009-06-30,136.0,141.0,122.0,266825787
2009-07-31,127.2,132.59,118.04,148436250
2009-08-31,131.91,139.0,128.16,155392433
2009-09-30,132.1,136.4,127.9,192389173
2009-10-31,130.5,143.7,124.4,244102961
2009-11-30,135.8,148.4,134.7,172625169
2009-12-31,141.0,147.0,138.7,138244695
2010-01-31,146.0,150.5,132.9,209062276
2010-02-28,133.0,138.7,126.6,259331885
2010-03-31,134.1,139.5,132.2,186202205
2010-04-30,142.0,148.2,140.6,186963439
2010-05-31,143.8,145.3,121.6,217846643
2010-06-30,127.8,138.8,125.0,159446620
2010-07-31,125.5,133.3,122.1,119837499
2010-08-31,124.2,129.5,116.8,216425052
2010-09-30,118.5,126.9,118.1,213646884
2010-10-31,123.3,128.9,123.1,205608092
2010-11-30,128.0,130.0,119.9,302706096
2010-12-31,123.9,140.7,123.8,175251037
2011-01-31,141.0,143.5,137.6,202694765
2011-02-28,141.4,150.0,135.4,246868100
2011-03-31,148.1,156.6,140.7,252550885
2011-04-30,153.9,161.7,146.1,162225754
2011-05-31,153.9,154.3,133.9,195901187
2011-06-30,142.0,142.4,128.2,153019958
2011-07-31,136.8,139.5,131.4,92308647
2011-08-31,134.8,135.3,108.1,245423049
2011-09-30,129.3,130.5,118.4,184129419
2011-10-31,126.6,145.3,121.8,180734917
2011-11-30,140.0,149.6,135.6,183793926
2011-12-31,149.0,154.4,145.1,114487566
2012-01-31,153.5,159.5,145.4,134917069
2012-02-29,148.0,161.5,146.8,135021865
2012-03-31,158.8,162.8,152.6,113620036
2012-04-30,154.3,156.5,147.6,80760676
2012-05-31,154.0,154.5,136.5,104352347
2012-06-30,139.0,142.7,133.2,105355017
2012-07-31,142.0,147.2,139.6,74597777
2012-08-31,143.4,151.5,141.5,63985648
2012-09-30,148.7,155.0,146.2,70783951
2012-10-31,147.6,149.0,139.3,68650211
2012-11-30,140.5,141.4,135.3,68459448
2012-12-31,138.2,141.6,135.0,46588751
2013-01-31,141.0,147.0,140.2,57434430
2013-02-28,145.6,148.5,141.7,62110300
2013-03-31,142.9,143.6,139.4,57532210
2013-04-30,143.0,143.2,132.6,68043484
2013-05-31,136.6,139.6,128.5,78958426
2013-06-30,132.7,133.7,122.9,62847979
2013-07-31,126.6,133.6,125.1,54671781
2013-08-31,128.3,137.7,125.1,71626842
2013-09-30,134.2,138.5,132.1,60870920
2013-10-31,136.3,144.4,133.0,68291048
2013-11-30,141.5,142.9,137.6,50714586
2013-12-31,138.1,148.5,137.4,48266595
2014-01-31,147.1,156.0,145.7,62825392
2014-02-28,148.7,162.8,144.6,72501015
2014-03-31,159.5,172.3,159.0,75303564
2014-04-30,169.0,182.9,164.4,62855145
2014-05-31,181.6,187.6,175.1,62626156
2014-06-30,184.1,195.9,180.2,65214557
2014-07-31,188.8,192.5,179.5,54755815
2014-08-31,179.8,183.7,170.5,49570152
2014-09-30,175.7,182.5,172.1,61688323
2014-10-31,174.9,174.9,145.1,110134802
2014-11-30,154.3,156.1,128.7,101368249
2014-12-31,126.9,136.9,118.2,142217759
2015-01-31,132.4,139.8,123.5,148056824
2015-02-28,129.7,150.0,129.0,132716019
2015-03-31,146.5,148.4,131.3,121095500
2015-04-30,141.5,161.5,141.3,100628488
2015-05-31,160.0,161.7,143.5,77903221
2015-06-30,145.1,148.1,139.3,80880563
2015-07-31,141.0,142.9,130.4,92788974
2015-08-31,136.8,140.2,113.9,104504389
2015-09-30,126.9,127.9,115.7,98659667
2015-10-31,124.6,145.6,124.3,122436244
