Date,Open,High,Low,Close,Volume
1996-01-02,101.4633,101.4633,101.4633,101.4633,
1996-01-03,103.5006,103.5006,103.5006,103.5006,
1996-01-04,103.411,103.411,103.411,103.411,
1996-01-05,103.0309,103.0309,103.0309,103.0309,
1996-01-08,103.9631,103.9631,103.9631,103.9631,
1996-01-09,103.4211,103.4211,103.4211,103.4211,
1996-01-10,102.0742,102.0742,102.0742,102.0742,
1996-01-11,103.0205,103.0205,103.0205,103.0205,
1996-01-12,102.6329,102.6329,102.6329,102.6329,
1996-01-15,101.4764,101.4764,101.4764,101.4764,
1996-01-16,101.2782,101.2782,101.2782,101.2782,
1996-01-17,100.9799,100.9799,100.9799,100.9799,
1996-01-18,101.7239,101.7239,101.7239,101.7239,
1996-01-19,101.803,101.803,101.803,101.803,
1996-01-22,101.5831,101.5831,101.5831,101.5831,
1996-01-23,101.1576,101.1576,101.1576,101.1576,
1996-01-24,101.3914,101.3914,101.3914,101.3914,
1996-01-25,101.4437,101.4437,101.4437,101.4437,
1996-01-26,101.0564,101.0564,101.0564,101.0564,
1996-01-29,100.6752,100.6752,100.6752,100.6752,
1996-01-30,100.5267,100.5267,100.5267,100.5267,
1996-01-31,101.2275,101.2275,101.2275,101.2275,
1996-02-01,101.7404,101.7404,101.7404,101.7404,
1996-02-02,102.4151,102.4151,102.4151,102.4151,
1996-02-05,101.97,101.97,101.97,101.97,
1996-02-06,102.0807,102.0807,102.0807,102.0807,
1996-02-07,102.4804,102.4804,102.4804,102.4804,
1996-02-08,102.4683,102.4683,102.4683,102.4683,
1996-02-09,102.4913,102.4913,102.4913,102.4913,
1996-02-12,102.6338,102.6338,102.6338,102.6338,
1996-02-13,102.9874,102.9874,102.9874,102.9874,
1996-02-14,103.1989,103.1989,103.1989,103.1989,
1996-02-15,103.0577,103.0577,103.0577,103.0577,
1996-02-16,103.3398,103.3398,103.3398,103.3398,
1996-02-19,102.2627,102.2627,102.2627,102.2627,
1996-02-20,102.111,102.111,102.111,102.111,
1996-02-21,103.4606,103.4606,103.4606,103.4606,
1996-02-22,104.6018,104.6018,104.6018,104.6018,
1996-02-23,105.1772,105.1772,105.1772,105.1772,
1996-02-26,104.4177,104.4177,104.4177,104.4177,
1996-02-27,103.6669,103.6669,103.6669,103.6669,
1996-02-28,103.1445,103.1445,103.1445,103.1445,
1996-02-29,102.436,102.436,102.436,102.436,
1996-03-01,104.3164,104.3164,104.3164,104.3164,
1996-03-04,104.6584,104.6584,104.6584,104.6584,
1996-03-05,104.7569,104.7569,104.7569,104.7569,
1996-03-06,104.6419,104.6419,104.6419,104.6419,
1996-03-07,104.5595,104.5595,104.5595,104.5595,
1996-03-08,103.5105,103.5105,103.5105,103.5105,
1996-03-11,103.0259,103.0259,103.0259,103.0259,
1996-03-12,103.4358,103.4358,103.4358,103.4358,
1996-03-13,103.4705,103.4705,103.4705,103.4705,
1996-03-14,103.8715,103.8715,103.8715,103.8715,
1996-03-15,103.9304,103.9304,103.9304,103.9304,
1996-03-18,104.8336,104.8336,104.8336,104.8336,
1996-03-19,105.1959,105.1959,105.1959,105.1959,
