Date,Open,High,Low,Close,Volume
1996-01-31,101.4633,103.9631,100.5267,101.2275,
1996-02-29,101.7404,105.1772,101.7404,102.436,
1996-03-31,104.3164,105.1959,103.0259,103.3784,
1996-04-30,103.7287,112.9898,103.7287,112.2236,
1996-05-31,111.9082,113.196,108.8643,113.1924,
1996-06-30,112.8478,115.8204,112.8478,114.3976,
1996-07-31,115.5671,116.6872,110.0473,110.0473,
1996-08-31,110.8807,113.6418,110.8807,112.9566,
1996-09-30,113.6811,116.5829,112.5673,115.381,
1996-10-31,116.3905,121.5919,116.3905,118.348,
1996-11-30,119.3238,126.645,119.3238,126.645,
1996-12-31,128.3127,132.4284,125.7144,132.4284,
1997-01-31,131.6558,143.8459,131.6558,143.8459,
1997-02-28,144.541,150.4362,142.1893,142.3721,
1997-03-31,141.7181,149.1508,141.7181,144.4694,
1997-04-30,139.8194,149.287,138.5406,148.1489,
1997-05-31,147.2114,159.6028,147.2114,157.9456,
1997-06-30,160.2339,163.6205,159.8863,163.6205,
1997-07-31,165.32,176.6743,165.32,176.6743,
1997-08-31,176.2024,182.7045,172.8795,175.2829,
1997-09-30,177.3395,183.5571,177.3395,183.5571,
1997-10-31,183.862,193.4586,175.4693,181.0868,
1997-11-30,182.9879,183.2822,171.1645,173.7785,
1997-12-31,174.4372,180.3704,167.5435,175.0695,
1998-01-31,178.7786,179.5824,158.627,170.7318,
1998-02-28,173.4178,175.4475,170.0567,174.9908,
1998-03-31,178.3825,192.4318,177.1134,190.1937,
1998-04-30,191.134,197.4308,191.134,195.123,
1998-05-31,198.4567,198.6197,181.9316,182.1756,
1998-06-30,181.8484,187.0179,172.3555,178.8865,
1998-07-31,182.4333,185.2516,176.7389,176.7389,
1998-08-31,174.5612,174.5612,132.3068,132.3068,
1998-09-30,125.7988,136.8547,115.8174,119.2917,
1998-10-31,117.1218,136.0098,100.8824,136.0098,
1998-11-30,139.495,139.495,123.8978,130.2622,
1998-12-31,125.5836,128.5587,116.4709,127.8271,
1999-01-31,133.0253,139.9383,129.9718,139.0769,
1999-02-28,140.4128,140.4128,132.0821,132.3974,
1999-03-31,132.9845,143.9203,132.9845,143.1379,
1999-04-30,143.5846,154.878,143.2858,154.878,
1999-05-31,156.3499,159.2318,152.4055,154.5205,
1999-06-30,155.631,157.9428,151.6127,154.5556,
1999-07-31,155.7839,163.8891,155.6622,159.0344,
1999-08-31,157.8972,167.5467,157.7173,162.9355,
1999-09-30,165.2811,169.8802,158.6134,160.9084,
1999-10-31,162.1016,162.1135,154.3316,158.5232,
1999-11-30,158.6458,170.5974,157.9738,169.9773,
1999-12-31,171.1707,190.8045,171.1707,189.7622,
2000-01-31,192.7313,193.5385,180.5996,184.477,
2000-02-29,184.2105,192.19,184.2105,189.384,
2000-03-31,193.7116,199.3608,184.7166,188.3205,
2000-04-30,186.6209,186.6209,172.3029,182.051,
2000-05-31,185.3549,199.2198,185.3549,190.6267,
2000-06-30,194.2545,196.2783,190.4035,196.2783,
2000-07-31,197.7044,203.2908,196.4212,201.7848,
2000-08-31,202.3479,220.8575,200.9544,220.584,
2000-09-30,220.604,225.037,212.6159,213.9412,
2000-10-31,215.5255,218.0762,198.2468,212.9206,
2000-11-30,213.9708,219.9942,195.5741,195.5741,
2000-12-31,196.2098,198.152,183.0928,195.791,
2001-01-31,199.2077,201.1837,192.6198,201.1837,
2001-02-28,202.184,204.9037,198.8235,200.8298,
2001-03-31,195.8321,204.1083,185.16,191.42,
2001-04-30,191.06,202.44,186.63,202.44,
2001-05-31,202.58,211.4,200.23,207.02,
2001-06-30,207.45,208.8,193.17,194.2,
2001-07-31,195.28,195.51,184.49,189.04,
2001-08-31,189.2,189.76,176.62,176.62,
